Shrew_ID,Species,Site,Transect,Zone,Season,Date,Time,Sex,Weight_(g),Total_Length,Head_Length,Body_Length,Front_Limb_Length,Rear_Limb_Length
E46,GWTS,IE38,West,Inside,Winter,19/02/2018,M,13:30,11.6,118.5,26.8,48,28.4,30.8
E47,GWTS,IE38,West,Inside,Winter,19/02/2018,M,13:30,11.6,119.7,24.4,51.9,26.4,30.9
E48,GWTS,IE38,West,Inside,Winter,19/02/2018,F,13:30,9.2,112,25.2,50,25.8,29.3
E49,GWTS,IE38,West,Inside,Winter,19/02/2018,M,13:30,11,112.9,24,53.5,25.7,30.5
E50,GWTS,IE38,West,Inside,Winter,19/02/2018,F,13:30,10.2,111.6,26,52.6,24.6,29.5
E51,GWTS,IE38,West,Inside,Winter,19/02/2018,M,13:30,11,114.6,25.2,52.2,24.5,29.5
E52,GWTS,IE38,West,Inside,Winter,19/02/2018,M,13:30,11.9,114.6,26.2,50.8,25.2,28.9
E53,GWTS,IE38,West,Inside,Winter,19/02/2018,F,13:30,9.4,111.3,25.5,54.7,26.6,29.6
E54,GWTS,IE38,West,Inside,Winter,19/02/2018,F,14:30,9.8,114.8,24.7,52.6,24,28.2
E55,GWTS,IE38,West,Inside,Winter,19/02/2018,F,14:30,9.8,114.8,23,55.3,24.8,29.4
W01,GWTS,IE38,West,Inside,Summer,19/08/2017,Unknown,11:30,12.2,119,22.5,57,18.5,22.5
W02,GWTS,IE38,West,Inside,Summer,19/08/2017,Unknown,13:00,11.8,119.5,23.5,52.4,19.5,23
W03,GWTS,IE38,West,Inside,Summer,19/08/2017,Unknown,13:00,10.8,119,29,51,19,26.5
W04,GWTS,IE38,West,Inside,Summer,19/08/2017,Unknown,13:00,9.2,114,24,46,19.5,24.5
W05,GWTS,IE38,West,Inside,Summer,19/08/2017,Unknown,16:00,12.6,122,23,47.5,21.8,26.5
W06,GWTS,IE38,West,Inside,Summer,19/08/2017,Unknown,16:00,9.6,112,25.5,43.5,20.5,25
W07,GWTS,IE38,West,Inside,Summer,19/08/2017,Unknown,16:00,9,116.5,21,46.5,16.2,24.5
W08,GWTS,IE38,West,Inside,Summer,19/08/2017,Unknown,16:00,9.4,113.5,24.4,42.5,21,26
W09,GWTS,IE38,West,Inside,Summer,19/08/2017,Unknown,16:00,8,107.5,26.4,39,20.5,23.5
W10,GWTS,IE38,West,Inside,Summer,20/08/2017,Unknown,13:00,11.3,117.75,25,47.5,22,27
W14,Pygmy,IE39,West,Outside,Summer,23/08/2017,Unknown,13:00,3.2,86.5,19,33,13.5,19.5
W18,Pygmy,IE39,West,Outside,Summer,23/08/2017,Unknown,18:15,3,82.3,20,27.6,14.6,21.5
E01,GWTS,IE40,East,Inside,Summer,03/09/2017,Unknown,13:15,11,112.9,24.2,50,21.5,27.5
E02,GWTS,IE40,East,Inside,Summer,03/09/2017,Unknown,13:15,9.8,108.4,24,47.1,21,27.5
E03,GWTS,IE40,East,Inside,Summer,03/09/2017,Unknown,16:45,10,113.1,24.5,45.9,22.3,30.5
E04,GWTS,IE41,East,Inside,Summer,03/09/2017,Unknown,17:30,11.2,116.5,21.6,58.1,20.2,24.7
E05,GWTS,IE41,East,Inside,Summer,03/09/2017,Unknown,17:30,13.2,112.3,24.5,51.3,20.6,26.8
E06,GWTS,IE41,East,Inside,Summer,03/09/2017,Unknown,17:30,10.5,111.3,25,43.5,23.7,28.5
E07,GWTS,IE41,East,Inside,Summer,03/09/2017,Unknown,17:58,9.2,119.3,24.6,45.4,22.5,28.1
E08,GWTS,IE41,East,Inside,Summer,03/09/2017,Unknown,17:58,9.9,111.6,21.5,47.8,19.6,24.5
E71,GWTS,IE41,East,Inside,Winter,08/03/2018,M,13:00,10.8,113.2,26.6,46.4,23.1,28.4
E72,GWTS,IE41,East,Inside,Winter,08/03/2018,F,13:00,6.5,104.5,25.6,43.1,24.1,28.3
E73,GWTS,IE41,East,Inside,Winter,08/03/2018,F,13:00,11.1,119.9,24.9,50.8,21.7,28.5
E74,GWTS,IE41,East,Inside,Winter,08/03/2018,M,13:00,10.1,114.4,23.6,45.3,24,26.8
E75,GWTS,IE41,East,Inside,Winter,08/03/2018,F,13:00,9.6,118.8,22.4,50.5,22.3,28.2
E76,GWTS,IE41,East,Inside,Winter,08/03/2018,M,14:30,10.3,115,23.8,49.3,25.5,28.6
E77,GWTS,IE41,East,Inside,Winter,08/03/2018,M,15:30,9.5,113.7,25.5,47.1,26.4,28.5
E78,GWTS,IE41,East,Inside,Winter,08/03/2018,Unknown,15:30,9.8,113.2,25,52.3,26.9,29.3
E09,GWTS,IE41B,East,Inside,Summer,04/09/2017,Unknown,15:00,9.2,110.5,23.2,52.5,19.3,22.8
E10,GWTS,IE41B,East,Inside,Summer,04/09/2017,Unknown,15:00,9.5,111.3,22.5,49,21.5,28.6
E58,Pygmy,IE43,West,Outside,Winter,20/02/2018,M,17:00,3.3,89.6,19.1,35.4,19.6,23.3
W37,Pygmy,IE43,West,Outside,Summer,07/09/2017,Unknown,12:30,3.1,87.5,19,32,15.5,22.6
W38,Pygmy,IE43,West,Outside,Summer,07/09/2017,Unknown,12:45,3.3,92,20,35.5,17.3,23.4
