Sample,shrew_zone,shrew_tran,Shrew,Transect,Zone,Season,Control,Trap_Site,Date,Sex,Time,Weight
PCR_BLNK3,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK4,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK5,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK6,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK7,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK8,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK9,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK10,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK11,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK12,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK13,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK14,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK15,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK16,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK17,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK18,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK19,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
PCR_BLNK20,Blank,Blank,PCRBlank,Blank,Blank,Blank,Yes,Blank,Blank,Blank,Blank,Blank
S01,Pygmy_Edge,Pygmy_South,Pygmy,South,Edge,Summer,No,IE07,19/09/2017,Unknown,15:00,3
S02,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE07,19/09/2017,Unknown,15:00,12
S03,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE07,19/09/2017,Unknown,15:00,11
S04,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE07,19/09/2017,Unknown,15:00,9.7
S05,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE07,19/09/2017,Unknown,15:00,11.3
S06,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE07,19/09/2017,Unknown,15:00,10
S07,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE07,19/09/2017,Unknown,15:00,10.3
S08,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE07,19/09/2017,Unknown,15:00,10.1
S09,GWTS_Edge,GWTS_South,GWTS,South,Edge,Summer,No,IE07,19/09/2017,Unknown,15:00,9.2
